,,,,,
,,,,,
1,Lo scafo di un'unità navale a vela è la parte immersa della deriva.,VERO,F,FALSO,V
2,Lo scafo di un'unità a vela è la struttura galleggiante e portante della stessa.,VERO,V,FALSO,F
3,La presenza del bulbo zavorrato in un'unità navale a vela ha la funzione di fornire alla stessa una maggiore stabilità per contrastare le azioni esterne (vento).,VERO,V,FALSO,F
4,"La presenza del bulbo zavorrato in un'unità navale a vela ha la funzione di offrire alla stessa una maggior penetrazione alla prua, tale da farle raggiungere velocità più elevate.",VERO,F,FALSO,V
5,La vela si orienta in relazione al flusso del vento.,VERO,V,FALSO,F
6,Per andatura si intende la direzione verso cui la stessa procede rispetto alla direzione di provenienza del vento.,VERO,V,FALSO,F
7,Per andatura si intende la velocità riaggiunta dall'unità navale a vela rispetto alla direzione di provenienza del vento,VERO,F,FALSO,V
8,"Quando l'unità a vela si muove a favore di vento, il vento apparente equivale alla differenza tra il vento reale e quello di velocità dell'unità navale stessa.",VERO,V,FALSO,F
9,"Quando l'unità a vela si muove a favore di vento, il vento apparente,  corrisponde alla somma tra il vento reale e quello di velocità dell'unità navale",VERO,F,FALSO,V
10,"Quando l'unità a vela si muove controvento, il vento apparente corrisponde alla somma tra il vento reale e quello di velocità dell'unità navale.",VERO,V,FALSO,F
11,"Quando l'unità a vela si muove controvento, il vento apparente è pari al vento di velocità dell'unità navale stessa.",VERO,F,FALSO,V
12,"Durante la navigazione di una unità a vela, il vento apparente è sempre orientato più a proravia rispetto al vento reale.",VERO,V,FALSO,F
13,"Durante la navigazione di una unità a vela, il vento apparente, è sempre orientato ortogonalmente rispetto al vento reale.",VERO,F,FALSO,V
14,"Durante la navigazione a vela, il vento apparente ha un'intensità tanto maggiore quanto più l'unità navale procede verso la direzione da cui proviene il vento.",VERO,V,FALSO,F
15,"Durante la navigazione di una navale a vela, il vento apparente ha un'intensità tanto maggiore quanto più l'unità navale si discosta dalla direzione da cui proviene il vento.",VERO,F,FALSO,V
16,"Per andatura di ""bolina"" si intende quando una unità a vela procede con una direzione di rotta che forma un angolo di circa 135° rispetto alla direzione del vento reale.",VERO,F,FALSO,V
17,"Per andatura al ""traverso"" si intende quando una unità a vela procede con una direzione di rotta che forma un angolo di 45° rispetto alla direzione del vento reale.",VERO,F,FALSO,V
18,Per andatura di lasco si intende quando una unità a vela procede con una direzione di rotta che forma un angolo di circa 45° rispetto alla direzione del vento reale.,VERO,F,FALSO,V
19,Per andatura di poppa si intende quando una unità a vela procede con una direzione di rotta che forma un angolo di 90° rispetto alla direzione del vento reale.,VERO,F,FALSO,V
20,"Procedendo di bolina, la velocita avvertita dell'unità a vela sembra elevata perché l'intensità del vento percepita risulta superiore rispetto a quella reale.",VERO,V,FALSO,F
21,"Procedendo di bolina, la velocita avvertita dell'unità a vela sembra elevata perché l'intensità del vento percepita risulta inferiore rispetto a quella reale.",VERO,F,FALSO,V
22,"Procedendo di poppa, la velocita avvertita dell'unità a vela sembra minore perché l'intensità del vento percepita risulta inferiore rispetto a quella reale.",VERO,V,FALSO,F
23,"Procedendo di poppa, la velocita avvertita dell'unità navale a vela sembra minore perché l'intensità del vento percepita risulta superiore rispetto a quella reale.",VERO,F,FALSO,V
24,"Per ""settore di bordeggio"", o ""angolo morto"", si intende quel settore controvento entro il quale una unità a vela non può indirizzare la sua prua per mancanza di portanza delle vele.",VERO,V,FALSO,F
25,"Per ""settore di bordeggio"", o ""angolo morto"", si intende quel settore entro il quale una unità a vela può navigare al fine di aumentare la velocità per raggiungere una determinata destinazione.",VERO,F,FALSO,V
26,Un temporaneo aumento dell'intensità del vento reale (raffica) comporta una favorevole variazione della direzione del vento apparente per assumere un migliore angolo di bolina.,VERO,V,FALSO,F
27,Una temporanea attenuazione dell'intensità del vento reale comporta una favorevole variazione della direzione del vento apparente per assumere un migliore angolo di bolina.,VERO,F,FALSO,V
28,L'angolo di incidenza risulta essere l'angolo formato tra la direzione del vento apparente e quella verso cui è orientata la vela.,VERO,V,FALSO,F
29,Il centro velico risulta essere il punto di applicazione della forza del vento apparente sulle vele e sull'opera morta.,VERO,F,FALSO,V
30,Il centro di deriva risulta essere il centro geometrico della superficie di deriva posto sotto la chiglia dell'unità a vela.,VERO,F,FALSO,V
31,Il centro velico e il centro di deriva si influenzano tra loro generando effetti che sono individuabili e prevedibili per ogni unità a vela.,VERO,V,FALSO,F
32,"In condizioni di timone al centro, quando il centro velico è allineato con il centro di deriva, l'unità  a vela si definisce ""neutra"" (né poggiera né orziera).",VERO,V,FALSO,F
33,"In condizioni di timone al centro, quando il centro velico è allineato con il centro di deriva, l'unità a vela si avvicina alla direzione del vento (orziera).",VERO,F,FALSO,V
34,"La posizione del centro velico nelle unità a vela dipende dalla superficie e dalla forma delle vele, dalla reciproca influenza tra le vele bordate e dalla messa a punto dell'attrezzatura.",VERO,V,FALSO,F
35,"Per ""planata"" si intende lo stato in cui viene a trovarsi l'unità a vela navigando in condizioni di equilibrio dinamico sulla cresta dell'onda generato dal suo medesimo avanzamento.",VERO,V,FALSO,F
36,"La ""messa a segno"" delle vele è generata dal vento apparente durante la navigazione.",VERO,V,FALSO,F
37,La pressione esercitata dal vento sulle vele dipende dall'angolo di incidenza.,VERO,V,FALSO,F
38,La pressione esercitata dal vento sulle vele dipende esclusivamente dal valore della prora assunta dall'unità.,VERO,F,FALSO,V
39,La forza di scarroccio risulta perpendicolare all'asse longitudinale dell'unità a vela.,VERO,V,FALSO,F
40,La forza di propulsione risulta perpendicolare all'asse longitudinale dell'unità a vela.,VERO,F,FALSO,V
41,l'albero di un'unità a vela  inclinato verso poppa rende la stessa tendenzialmente orziera.,VERO,V,FALSO,F
42,L'albero di un'unità a vela  inclinato verso prua rende la stessa tendenzialmente poggiera.,VERO,V,FALSO,F
43,La funzione delle stecche poste sulla randa è quella di conservare inalterata la forma della vela in qualsiasi condizione meteomarina.,VERO,V,FALSO,F
44,La funzione delle stecche poste sulla randa è quella di garantire l'ottimale indicazione della direzione del vento sulla vela?,VERO,F,FALSO,V
45,"Con riguardo alla teoria della vela, il multiscafo ha una maggiore stabilità.",VERO,V,FALSO,F
46,Il bulbo zavorrato di un'unità a vela fornisce maggiore stabilità per contrastare l'azione esterna del vento.,VERO,V,FALSO,F
47,La stabilità di un'imbarcazione a vela è assicurata dal bulbo zavorrato.,VERO,V,FALSO,F
48,"La vela tende, per sua natura, ad assumere una posizione neutra di 45° rispetto al flusso del vento e a ricevere una spinta in tale direzione.",VERO,F,FALSO,V
49,Per andatura si intende la direzione verso cui procede un'unità  a vela rispetto alla direzione di provenienza del vento.,VERO,V,FALSO,F
